,product_type,total_per_product
0,Macaquinho,20650
1,Top,31440
2,Choker,51120
3,Conjunto,63840
4,Capa,80192
5,Pantacourt,126000
6,Cardigan,163590
7,Mala,164410
8,Body,174447
9,Peeptoe,180900
10,Bata,183600
11,Colar,196000
12,Bomber,207870
13,Macacao,218700
14,Tenis,308984
15,Bota,317580
16,Cropped,349820
17,Casaqueto,384995
18,Jaqueta,445380
19,Bermuda,458350
20,Blazer,509840
21,Sapatilha,546000
22,Regata,740355
23,Clutch,827190
24,Casaco,848300
25,Shorts,863336
26,Blusinha,955970
27,Camiseta,1000646
28,Sandalia,1019210
29,Sneaker,1099340
30,Scarpin,1191400
31,Camisa,1321463
32,Oculos,1966780
33,Sapato,2090130
34,Blusa,2423380
35,Calca,3415291
36,Saia,4243621
37,Bolsa,7079995
38,Vestido,9533815
